Symbol,Company_Name,Yahoo_Symbol
ARMANFIN,Arman Financial Services Limited,ARMANFIN.NS
AROGRANITE,Aro Granite Industries Limited,AROGRANITE.NS
ARROWGREEN,Arrow Greentech Limited,ARROWGREEN.NS
ARSHIYA,Arshiya Limited,ARSHIYA.NS
ARSSINFRA,ARSS Infrastructure Projects Limited,ARSSINFRA.NS
ARTEMISMED,Artemis Medicare Services Limited,ARTEMISMED.NS
ARVIND,Arvind Limited,ARVIND.NS
ARVINDFASN,Arvind Fashions Limited,ARVINDFASN.NS
ARVSMART,Arvind SmartSpaces Limited,ARVSMART.NS
ASAHIINDIA,Asahi India Glass Limited,ASAHIINDIA.NS
ASAHISONG,Asahi Songwon Colors Limited,ASAHISONG.NS
ASAL,Automotive Stampings and Assemblies Limited,ASAL.NS
ASALCBR,Associated Alcohols & Breweries Ltd.,ASALCBR.NS
ASHAPURMIN,Ashapura Minechem Limited,ASHAPURMIN.NS
ASHIANA,Ashiana Housing Limited,ASHIANA.NS
ASHIMASYN,Ashima Limited,ASHIMASYN.NS
ASHOKA,Ashoka Buildcon Limited,ASHOKA.NS
ASHOKLEY,Ashok Leyland Limited,ASHOKLEY.NS
ASIANHOTNR,Asian Hotels (North) Limited,ASIANHOTNR.NS
ASIANPAINT,Asian Paints Limited,ASIANPAINT.NS
ASIANTILES,Asian Granito India Limited,ASIANTILES.NS
ASPINWALL,Aspinwall and Company Limited,ASPINWALL.NS
ASTEC,Astec LifeSciences Limited,ASTEC.NS
ASTERDM,Aster DM Healthcare Limited,ASTERDM.NS
ASTRAL,Astral Poly Technik Limited,ASTRAL.NS
ASTRAMICRO,Astra Microwave Products Limited,ASTRAMICRO.NS
ASTRAZEN,AstraZeneca Pharma India Limited,ASTRAZEN.NS
ASTRON,Astron Paper & Board Mill Limited,ASTRON.NS
ATFL,Agro Tech Foods Limited,ATFL.NS
ATLANTA,Atlanta  Limited,ATLANTA.NS
ATLASCYCLE,Atlas Cycles (Haryana) Limited,ATLASCYCLE.NS
ATNINTER,ATN International Limited,ATNINTER.NS
ATUL,Atul Limited,ATUL.NS
ATULAUTO,Atul Auto Limited,ATULAUTO.NS
AUBANK,AU Small Finance Bank Limited,AUBANK.NS
AURIONPRO,Aurionpro Solutions Limited,AURIONPRO.NS
AUROPHARMA,Aurobindo Pharma Limited,AUROPHARMA.NS
AUSOMENT,Ausom Enterprise Limited,AUSOMENT.NS
AUTOAXLES,Automotive Axles Limited,AUTOAXLES.NS
AUTOIND,Autoline Industries Limited,AUTOIND.NS
AUTOLITIND,Autolite (India) Limited,AUTOLITIND.NS
AVADHSUGAR,Avadh Sugar & Energy Limited,AVADHSUGAR.NS
AVANTIFEED,Avanti Feeds Limited,AVANTIFEED.NS
AVTNPL,AVT Natural Products Limited,AVTNPL.NS
AXISBANK,Axis Bank Limited,AXISBANK.NS
AXISCADES,AXISCADES Engineering Technologies Limited,AXISCADES.NS
AYMSYNTEX,AYM Syntex Limited,AYMSYNTEX.NS
BAFNAPH,Bafna Pharmaceuticals Limited,BAFNAPH.NS
BAGFILMS,B.A.G Films and Media Limited,BAGFILMS.NS
BAJAJ-AUTO,Bajaj Auto Limited,BAJAJ-AUTO.NS
BAJAJCON,Bajaj Consumer Care Limited,BAJAJCON.NS
BAJAJELEC,Bajaj Electricals Limited,BAJAJELEC.NS
BAJAJFINSV,Bajaj Finserv Limited,BAJAJFINSV.NS
BAJAJHIND,Bajaj Hindusthan Sugar Limited,BAJAJHIND.NS
BAJAJHLDNG,Bajaj Holdings & Investment Limited,BAJAJHLDNG.NS
BAJFINANCE,Bajaj Finance Limited,BAJFINANCE.NS
BALAJITELE,Balaji Telefilms Limited,BALAJITELE.NS
BALAMINES,Balaji Amines Limited,BALAMINES.NS
BALAXI,Balaxi Ventures Limited,BALAXI.NS
BALKRISHNA,Balkrishna Paper Mills Limited,BALKRISHNA.NS
BALKRISIND,Balkrishna Industries Limited,BALKRISIND.NS
BALLARPUR,Ballarpur Industries Limited,BALLARPUR.NS
BALMLAWRIE,Balmer Lawrie & Company Limited,BALMLAWRIE.NS
BALPHARMA,Bal Pharma Limited,BALPHARMA.NS
BALRAMCHIN,Balrampur Chini Mills Limited,BALRAMCHIN.NS
BANARBEADS,Banaras Beads Limited,BANARBEADS.NS
BANARISUG,Bannari Amman Sugars Limited,BANARISUG.NS
