Symbol,Company_Name,Yahoo_Symbol
GALAXYSURF,Galaxy Surfactants Limited,GALAXYSURF.NS
GALLANTT,Gallantt Metal Limited,GALLANTT.NS
GALLISPAT,Gallantt Ispat Limited,GALLISPAT.NS
GAMMNINFRA,Gammon Infrastructure Projects Limited,GAMMNINFRA.NS
GANDHITUBE,Gandhi Special Tubes Limited,GANDHITUBE.NS
GANECOS,Ganesha Ecosphere Limited,GANECOS.NS
GANESHHOUC,Ganesh Housing Corporation Limited,GANESHHOUC.NS
GANGESSECU,Ganges Securities Limited,GANGESSECU.NS
GARDENSILK,Garden Silk Mills Limited,GARDENSILK.NS
GARFIBRES,Garware Technical Fibres Limited,GARFIBRES.NS
GATI,GATI Limited,GATI.NS
GAYAHWS,Gayatri Highways Limited,GAYAHWS.NS
GAYAPROJ,Gayatri Projects Limited,GAYAPROJ.NS
GBGLOBAL,GB Global Limited,GBGLOBAL.NS
GDL,Gateway Distriparks Limited,GDL.NS
GEECEE,GeeCee Ventures Limited,GEECEE.NS
GEEKAYWIRE,Geekay Wires Limited,GEEKAYWIRE.NS
GENESYS,Genesys International Corporation Limited,GENESYS.NS
GENUSPAPER,Genus Paper & Boards Limited,GENUSPAPER.NS
GENUSPOWER,Genus Power Infrastructures Limited,GENUSPOWER.NS
GEOJITFSL,Geojit Financial Services Limited,GEOJITFSL.NS
GEPIL,GE Power India Limited,GEPIL.NS
GESHIP,The Great Eastern Shipping Company Limited,GESHIP.NS
GET&D,GE T&D India Limited,GET&D.NS
GFLLIMITED,GFL Limited,GFLLIMITED.NS
GFSTEELS,Grand Foundry Limited,GFSTEELS.NS
GHCL,GHCL Limited,GHCL.NS
GICHSGFIN,GIC Housing Finance Limited,GICHSGFIN.NS
GICRE,General Insurance Corporation of India,GICRE.NS
GILLANDERS,Gillanders Arbuthnot & Company Limited,GILLANDERS.NS
GILLETTE,Gillette India Limited,GILLETTE.NS
GINNIFILA,Ginni Filaments Limited,GINNIFILA.NS
GIPCL,Gujarat Industries Power Company Limited,GIPCL.NS
GISOLUTION,GI Engineering Solutions Limited,GISOLUTION.NS
GKWLIMITED,GKW Limited,GKWLIMITED.NS
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,GLAXO.NS
GLENMARK,Glenmark Pharmaceuticals Limited,GLENMARK.NS
GLFL,Gujarat Lease Financing Limited,GLFL.NS
GLOBALVECT,Global Vectra Helicorp Limited,GLOBALVECT.NS
GLOBOFFS,Global Offshore Services Limited,GLOBOFFS.NS
GLOBUSSPR,Globus Spirits Limited,GLOBUSSPR.NS
GMBREW,GM Breweries Limited,GMBREW.NS
GMDCLTD,Gujarat Mineral Development Corporation Limited,GMDCLTD.NS
GMMPFAUDLR,GMM Pfaudler Limited,GMMPFAUDLR.NS
GMRINFRA,GMR Infrastructure Limited,GMRINFRA.NS
GNA,GNA Axles Limited,GNA.NS
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC.NS
GOACARBON,Goa Carbon Limited,GOACARBON.NS
GOCLCORP,GOCL Corporation Limited,GOCLCORP.NS
GODFRYPHLP,Godfrey Phillips India Limited,GODFRYPHLP.NS
GODREJAGRO,Godrej Agrovet Limited,GODREJAGRO.NS
GODREJCP,Godrej Consumer Products Limited,GODREJCP.NS
GODREJIND,Godrej Industries Limited,GODREJIND.NS
GODREJPROP,Godrej Properties Limited,GODREJPROP.NS
GOENKA,Goenka Diamond and Jewels Limited,GOENKA.NS
GOKEX,Gokaldas Exports Limited,GOKEX.NS
GOKUL,Gokul Refoils and Solvent Limited,GOKUL.NS
GOKULAGRO,Gokul Agro Resources Limited,GOKULAGRO.NS
GOLDENTOBC,Golden Tobacco Limited,GOLDENTOBC.NS
GOLDIAM,Goldiam International Limited,GOLDIAM.NS
GOLDTECH,Goldstone Technologies Limited,GOLDTECH.NS
GOODLUCK,Goodluck India Limited,GOODLUCK.NS
GPIL,Godawari Power And Ispat limited,GPIL.NS
GPPL,Gujarat Pipavav Port Limited,GPPL.NS
GPTINFRA,GPT Infraprojects Limited,GPTINFRA.NS
GRANULES,Granules India Limited,GRANULES.NS
GRAPHITE,Graphite India Limited,GRAPHITE.NS
GRASIM,Grasim Industries Limited,GRASIM.NS
GRAVITA,Gravita India Limited,GRAVITA.NS
GREAVESCOT,Greaves Cotton Limited,GREAVESCOT.NS
GREENLAM,Greenlam Industries Limited,GREENLAM.NS
GREENPANEL,Greenpanel Industries Limited,GREENPANEL.NS
GREENPLY,Greenply Industries Limited,GREENPLY.NS
GREENPOWER,Orient Green Power Company Limited,GREENPOWER.NS
GRINDWELL,Grindwell Norton Limited,GRINDWELL.NS
GROBTEA,The Grob Tea Company Limited,GROBTEA.NS
GRPLTD,GRP Limited,GRPLTD.NS
GRSE,Garden Reach Shipbuilders & Engineers Limited,GRSE.NS
GSCLCEMENT,Gujarat Sidhee Cement Limited,GSCLCEMENT.NS
GSFC,Gujarat State Fertilizers & Chemicals Limited,GSFC.NS
GSKCONS,GlaxoSmithKline Consumer Healthcare Limited,GSKCONS.NS
GSPL,Gujarat State Petronet Limited,GSPL.NS
GSS,GSS Infotech Limited,GSS.NS
GTL,GTL Limited,GTL.NS
GTLINFRA,GTL Infrastructure Limited,GTLINFRA.NS
GTNIND,GTN Industries Limited,GTNIND.NS
GTNTEX,GTN Textiles Limited,GTNTEX.NS
GTPL,GTPL Hathway Limited,GTPL.NS
GUFICBIO,Gufic Biosciences Limited,GUFICBIO.NS
GUJALKALI,Gujarat Alkalies and Chemicals Limited,GUJALKALI.NS
GUJAPOLLO,Gujarat Apollo Industries Limited,GUJAPOLLO.NS
GUJGASLTD,Gujarat Gas Limited,GUJGASLTD.NS
GUJRAFFIA,Gujarat Raffia Industries Limited,GUJRAFFIA.NS
GULFOILLUB,Gulf Oil Lubricants India Limited,GULFOILLUB.NS
GULFPETRO,GP Petroleums Limited,GULFPETRO.NS
GULPOLY,Gulshan Polyols Limited,GULPOLY.NS
GVKPIL,GVK Power & Infrastructure Limited,GVKPIL.NS
HAL,Hindustan Aeronautics Limited,HAL.NS
HARITASEAT,Harita Seating Systems Limited,HARITASEAT.NS
HARRMALAYA,Harrisons  Malayalam Limited,HARRMALAYA.NS
HATHWAY,Hathway Cable & Datacom Limited,HATHWAY.NS
HATSUN,Hatsun Agro Product Limited,HATSUN.NS
HAVELLS,Havells India Limited,HAVELLS.NS
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,HAVISHA.NS
HBLPOWER,HBL Power Systems Limited,HBLPOWER.NS
HBSL,HB Stockholdings Limited,HBSL.NS
HCC,Hindustan Construction Company Limited,HCC.NS
HCG,Healthcare Global Enterprises Limited,HCG.NS
HCL-INSYS,HCL Infosystems Limited,HCL-INSYS.NS
HCLTECH,HCL Technologies Limited,HCLTECH.NS
HDFC,Housing Development Finance Corporation Limited,HDFC.NS
HDFCAMC,HDFC Asset Management Company Limited,HDFCAMC.NS
HDFCBANK,HDFC Bank Limited,HDFCBANK.NS
HDFCLIFE,HDFC Life Insurance Company Limited,HDFCLIFE.NS
HDIL,Housing Development and Infrastructure Limited,HDIL.NS
HEG,HEG Limited,HEG.NS
HEIDELBERG,HeidelbergCement India Limited,HEIDELBERG.NS
HERCULES,Hercules Hoists Limited,HERCULES.NS
HERITGFOOD,Heritage Foods Limited,HERITGFOOD.NS
HEROMOTOCO,Hero MotoCorp Limited,HEROMOTOCO.NS
HESTERBIO,Hester Biosciences Limited,HESTERBIO.NS
HEXATRADEX,Hexa Tradex Limited,HEXATRADEX.NS
HEXAWARE,Hexaware Technologies Limited,HEXAWARE.NS
HFCL,HFCL Limited,HFCL.NS
HGINFRA,H.G. Infra Engineering Limited,HGINFRA.NS
HGS,Hinduja Global Solutions Limited,HGS.NS
HIKAL,Hikal Limited,HIKAL.NS
HIL,HIL Limited,HIL.NS
HILTON,Hilton Metal Forging Limited,HILTON.NS
HIMATSEIDE,Himatsingka Seide Limited,HIMATSEIDE.NS
HINDALCO,Hindalco Industries Limited,HINDALCO.NS
HINDCOMPOS,Hindustan Composites Limited,HINDCOMPOS.NS
HINDCOPPER,Hindustan Copper Limited,HINDCOPPER.NS
HINDMOTORS,Hindustan Motors Limited,HINDMOTORS.NS
HINDNATGLS,Hindusthan National Glass & Industries Limited,HINDNATGLS.NS
HINDOILEXP,Hindustan Oil Exploration Company Limited,HINDOILEXP.NS
HINDPETRO,Hindustan Petroleum Corporation Limited,HINDPETRO.NS
HINDUNILVR,Hindustan Unilever Limited,HINDUNILVR.NS
HINDZINC,Hindustan Zinc Limited,HINDZINC.NS
HIRECT,Hind Rectifiers Limited,HIRECT.NS
HISARMETAL,Hisar Metal Industries Limited,HISARMETAL.NS
HITECH,Hi-Tech Pipes Limited,HITECH.NS
HITECHCORP,Hitech Corporation Limited,HITECHCORP.NS
HITECHGEAR,The Hi-Tech Gears Limited,HITECHGEAR.NS
HLVLTD,HLV LIMITED,HLVLTD.NS
HMT,HMT Limited,HMT.NS
HMVL,Hindustan Media Ventures Limited,HMVL.NS
HNDFDS,Hindustan Foods Limited,HNDFDS.NS
HONAUT,Honeywell Automation India Limited,HONAUT.NS
HONDAPOWER,Honda Siel Power Products Limited,HONDAPOWER.NS
HOTELRUGBY,Hotel Rugby Limited,HOTELRUGBY.NS
HOVS,HOV Services Limited,HOVS.NS
HPL,HPL Electric & Power Limited,HPL.NS
HSCL,Himadri Speciality Chemical Limited,HSCL.NS
HSIL,HSIL Limited,HSIL.NS
HTMEDIA,HT Media Limited,HTMEDIA.NS
HUBTOWN,Hubtown Limited,HUBTOWN.NS
HUDCO,Housing & Urban Development Corporation Limited,HUDCO.NS
IBREALEST,Indiabulls Real Estate Limited,IBREALEST.NS
IBULHSGFIN,Indiabulls Housing Finance Limited,IBULHSGFIN.NS
IBULISL,Indiabulls Integrated Services Limited,IBULISL.NS
IBVENTURES,Indiabulls Ventures Limited,IBVENTURES.NS
ICICIBANK,ICICI Bank Limited,ICICIBANK.NS
ICICIGI,ICICI Lombard General Insurance Company Limited,ICICIGI.NS
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,ICICIPRULI.NS
ICIL,Indo Count Industries Limited,ICIL.NS
ICRA,ICRA Limited,ICRA.NS
IDBI,IDBI Bank Limited,IDBI.NS
IDEA,Vodafone Idea Limited,IDEA.NS
IDFC,IDFC Limited,IDFC.NS
IDFCFIRSTB,IDFC First Bank Limited,IDFCFIRSTB.NS
IEX,Indian Energy Exchange Limited,IEX.NS
IFBAGRO,IFB Agro Industries Limited,IFBAGRO.NS
IFBIND,IFB Industries Limited,IFBIND.NS
IFCI,IFCI Limited,IFCI.NS
IFGLEXPOR,IFGL Refractories Limited,IFGLEXPOR.NS
IGARASHI,Igarashi Motors India Limited,IGARASHI.NS
IGL,Indraprastha Gas Limited,IGL.NS
IGPL,IG Petrochemicals Limited,IGPL.NS
IIFL,IIFL Finance Limited,IIFL.NS
IIFLSEC,IIFL Securities Limited,IIFLSEC.NS
IIFLWAM,Iifl Wealth Management Limited,IIFLWAM.NS
IITL,Industrial Investment Trust Limited,IITL.NS
IL&FSENGG,IL&FS Engineering and Construction Company Limited,IL&FSENGG.NS
IL&FSTRANS,IL&FS Transportation Networks Limited,IL&FSTRANS.NS
IMFA,Indian Metals & Ferro Alloys Limited,IMFA.NS
IMPAL,India Motor Parts and Accessories Limited,IMPAL.NS
IMPEXFERRO,Impex Ferro Tech Limited,IMPEXFERRO.NS
INDBANK,Indbank Merchant Banking Services Limited,INDBANK.NS
INDHOTEL,The Indian Hotels Company Limited,INDHOTEL.NS
INDIACEM,The India Cements Limited,INDIACEM.NS
INDIAGLYCO,India Glycols Limited,INDIAGLYCO.NS
INDIAMART,Indiamart Intermesh Limited,INDIAMART.NS
INDIANB,Indian Bank,INDIANB.NS
INDIANCARD,Indian Card Clothing Company Limited,INDIANCARD.NS
INDIANHUME,Indian Hume Pipe Company Limited,INDIANHUME.NS
INDIGO,InterGlobe Aviation Limited,INDIGO.NS
INDLMETER,IMP Powers Limited,INDLMETER.NS
INDNIPPON,India Nippon Electricals Limited,INDNIPPON.NS
INDOCO,Indoco Remedies Limited,INDOCO.NS
INDORAMA,Indo Rama Synthetics (India) Limited,INDORAMA.NS
INDOSOLAR,Indosolar Limited,INDOSOLAR.NS
INDOSTAR,IndoStar Capital Finance Limited,INDOSTAR.NS
INDOTECH,Indo Tech Transformers Limited,INDOTECH.NS
INDOTHAI,Indo Thai Securities Limited,INDOTHAI.NS
INDOWIND,Indowind Energy Limited,INDOWIND.NS
INDRAMEDCO,Indraprastha Medical Corporation Limited,INDRAMEDCO.NS
INDSWFTLAB,Ind-Swift Laboratories Limited,INDSWFTLAB.NS
INDSWFTLTD,Ind-Swift Limited,INDSWFTLTD.NS
INDTERRAIN,Indian Terrain Fashions Limited,INDTERRAIN.NS
INDUSINDBK,IndusInd Bank Limited,INDUSINDBK.NS
INEOSSTYRO,INEOS Styrolution India Limited,INEOSSTYRO.NS
INFIBEAM,Infibeam Avenues Limited,INFIBEAM.NS
INFOBEAN,InfoBeans Technologies Limited,INFOBEAN.NS
INFOMEDIA,Infomedia Press Limited,INFOMEDIA.NS
INFRATEL,Bharti Infratel Limited,INFRATEL.NS
INFY,Infosys Limited,INFY.NS
INGERRAND,Ingersoll Rand (India) Limited,INGERRAND.NS
INOXLEISUR,INOX Leisure Limited,INOXLEISUR.NS
INOXWIND,Inox Wind Limited,INOXWIND.NS
INSECTICID,Insecticides (India) Limited,INSECTICID.NS
INSPIRISYS,Inspirisys Solutions Limited,INSPIRISYS.NS
INTEGRA,Integra Garments and Textiles Limited,INTEGRA.NS
INTELLECT,Intellect Design Arena Limited,INTELLECT.NS
INTENTECH,Intense Technologies Limited,INTENTECH.NS
INVENTURE,Inventure Growth & Securities Limited,INVENTURE.NS
IOB,Indian Overseas Bank,IOB.NS
IOC,Indian Oil Corporation Limited,IOC.NS
IOLCP,IOL Chemicals and Pharmaceuticals Limited,IOLCP.NS
IPCALAB,IPCA Laboratories Limited,IPCALAB.NS
IRB,IRB Infrastructure Developers Limited,IRB.NS
IRCON,Ircon International Limited,IRCON.NS
IRCTC,Indian Railway Catering And Tourism Corporation Limited,IRCTC.NS
ISEC,ICICI Securities Limited,ISEC.NS
ISFT,Intrasoft Technologies Limited,ISFT.NS
ISMTLTD,ISMT Limited,ISMTLTD.NS
ITC,ITC Limited,ITC.NS
ITDC,India Tourism Development Corporation Limited,ITDC.NS
ITDCEM,ITD Cementation India Limited,ITDCEM.NS
ITI,ITI Limited,ITI.NS
IVC,IL&FS Investment Managers Limited,IVC.NS
IVP,IVP Limited,IVP.NS
IZMO,IZMO Limited,IZMO.NS
J&KBANK,The Jammu & Kashmir Bank Limited,J&KBANK.NS
JAGRAN,Jagran Prakashan Limited,JAGRAN.NS
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,JAGSNPHARM.NS
JAIBALAJI,Jai Balaji Industries Limited,JAIBALAJI.NS
JAICORPLTD,Jai Corp Limited,JAICORPLTD.NS
JAIHINDPRO,Jaihind Projects Limited,JAIHINDPRO.NS
JAINSTUDIO,Jain Studios Limited,JAINSTUDIO.NS
JAMNAAUTO,Jamna Auto Industries Limited,JAMNAAUTO.NS
JASH,Jash Engineering Limited,JASH.NS
JAYAGROGN,Jayant Agro Organics Limited,JAYAGROGN.NS
JAYBARMARU,Jay Bharat Maruti Limited,JAYBARMARU.NS
JAYNECOIND,Jayaswal Neco Industries Limited,JAYNECOIND.NS
JAYSREETEA,Jayshree Tea & Industries Limited,JAYSREETEA.NS
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,JBCHEPHARM.NS
JBFIND,JBF Industries Limited,JBFIND.NS
JBMA,JBM Auto Limited,JBMA.NS
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,JCHAC.NS
JETAIRWAYS,Jet Airways (India) Limited,JETAIRWAYS.NS
JHS,JHS Svendgaard Laboratories Limited,JHS.NS
JIKIND,JIK Industries Limited,JIKIND.NS
JINDALPHOT,Jindal Photo Limited,JINDALPHOT.NS
JINDALPOLY,Jindal Poly Films Limited,JINDALPOLY.NS
JINDALSAW,Jindal Saw Limited,JINDALSAW.NS
JINDALSTEL,Jindal Steel & Power Limited,JINDALSTEL.NS
JINDRILL,Jindal Drilling And Industries Limited,JINDRILL.NS
JINDWORLD,Jindal Worldwide Limited,JINDWORLD.NS
JISLDVREQS,Jain Irrigation Systems Limited,JISLDVREQS.NS
JISLJALEQS,Jain Irrigation Systems Limited,JISLJALEQS.NS
JITFINFRA,JITF Infralogistics Limited,JITFINFRA.NS
JIYAECO,Jiya Eco-Products Limited,JIYAECO.NS
JKCEMENT,JK Cement Limited,JKCEMENT.NS
JKIL,J.Kumar Infraprojects Limited,JKIL.NS
JKLAKSHMI,JK Lakshmi Cement Limited,JKLAKSHMI.NS
JKPAPER,JK Paper Limited,JKPAPER.NS
JKTYRE,JK Tyre & Industries Limited,JKTYRE.NS
JMA,Jullundur Motor Agency (Delhi) Limited,JMA.NS
JMCPROJECT,JMC Projects (India)  Limited,JMCPROJECT.NS
JMFINANCIL,JM Financial Limited,JMFINANCIL.NS
JMTAUTOLTD,JMT Auto Limited,JMTAUTOLTD.NS
JOCIL,Jocil Limited,JOCIL.NS
JPASSOCIAT,Jaiprakash Associates Limited,JPASSOCIAT.NS
JPINFRATEC,Jaypee Infratech Limited,JPINFRATEC.NS
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,JPOLYINVST.NS
JPPOWER,Jaiprakash Power Ventures Limited,JPPOWER.NS
JSL,Jindal Stainless Limited,JSL.NS
JSLHISAR,Jindal Stainless (Hisar) Limited,JSLHISAR.NS
JSWENERGY,JSW Energy Limited,JSWENERGY.NS
JSWHL,JSW Holdings Limited,JSWHL.NS
JSWSTEEL,JSW Steel Limited,JSWSTEEL.NS
JTEKTINDIA,Jtekt India Limited,JTEKTINDIA.NS
JUBILANT,Jubilant Life Sciences Limited,JUBILANT.NS
JUBLFOOD,Jubilant Foodworks Limited,JUBLFOOD.NS
JUBLINDS,Jubilant Industries Limited,JUBLINDS.NS
JUMPNET,Jump Networks Limited,JUMPNET.NS
JUSTDIAL,Just Dial Limited,JUSTDIAL.NS
JVLAGRO,JVL Agro Industries Limited,JVLAGRO.NS
JYOTHYLAB,Jyothy Labs Limited,JYOTHYLAB.NS
JYOTISTRUC,Jyoti Structures Limited,JYOTISTRUC.NS
KABRAEXTRU,Kabra Extrusion Technik Limited,KABRAEXTRU.NS
KAJARIACER,Kajaria Ceramics Limited,KAJARIACER.NS
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,KAKATCEM.NS
KALPATPOWR,Kalpataru Power Transmission Limited,KALPATPOWR.NS
KALYANI,Kalyani Commercials Limited,KALYANI.NS
KALYANIFRG,Kalyani Forge Limited,KALYANIFRG.NS
KAMATHOTEL,Kamat Hotels (I) Limited,KAMATHOTEL.NS
KAMDHENU,Kamdhenu Limited,KAMDHENU.NS
KANANIIND,Kanani Industries Limited,KANANIIND.NS
KANORICHEM,Kanoria Chemicals & Industries Limited,KANORICHEM.NS
KANSAINER,Kansai Nerolac Paints Limited,KANSAINER.NS
KARDA,Karda Constructions Limited,KARDA.NS
KARMAENG,Karma Energy Limited,KARMAENG.NS
KARURVYSYA,Karur Vysya Bank Limited,KARURVYSYA.NS
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,KAUSHALYA.NS
KAYA,Kaya Limited,KAYA.NS
KCP,KCP Limited,KCP.NS
KCPSUGIND,KCP Sugar and Industries Corporation Limited,KCPSUGIND.NS
KDDL,KDDL Limited,KDDL.NS
KEC,KEC International Limited,KEC.NS
KECL,Kirloskar Electric Company Limited,KECL.NS
KEI,KEI Industries Limited,KEI.NS
KELLTONTEC,Kellton Tech Solutions Limited,KELLTONTEC.NS
KENNAMET,Kennametal India Limited,KENNAMET.NS
KERNEX,Kernex Microsystems (India) Limited,KERNEX.NS
KESORAMIND,Kesoram Industries Limited,KESORAMIND.NS
KEYFINSERV,Keynote Financial Services Limited,KEYFINSERV.NS
KGL,Karuturi Global Limited,KGL.NS
KHADIM,Khadim India Limited,KHADIM.NS
KHANDSE,Khandwala Securities Limited,KHANDSE.NS
KICL,Kalyani Investment Company Limited,KICL.NS
KILITCH,Kilitch Drugs (India) Limited,KILITCH.NS
KINGFA,Kingfa Science & Technology (India) Limited,KINGFA.NS
KIOCL,KIOCL Limited,KIOCL.NS
KIRIINDUS,Kiri Industries Limited,KIRIINDUS.NS
KIRLFER,Kirloskar Ferrous Industries Ltd,KIRLFER.NS
KIRLOSBROS,Kirloskar Brothers Limited,KIRLOSBROS.NS
KIRLOSENG,Kirloskar Oil Engines Limited,KIRLOSENG.NS
KIRLOSIND,Kirloskar Industries Limited,KIRLOSIND.NS
KITEX,Kitex Garments Limited,KITEX.NS
KKCL,Kewal Kiran Clothing Limited,KKCL.NS
KMSUGAR,K.M.Sugar Mills Limited,KMSUGAR.NS
KNRCON,KNR Constructions Limited,KNRCON.NS
KOHINOOR,Kohinoor Foods Limited,KOHINOOR.NS
KOKUYOCMLN,Kokuyo Camlin Limited,KOKUYOCMLN.NS
KOLTEPATIL,Kolte - Patil Developers Limited,KOLTEPATIL.NS
KOPRAN,Kopran Limited,KOPRAN.NS
KOTAKBANK,Kotak Mahindra Bank Limited,KOTAKBANK.NS
KOTARISUG,Kothari Sugars And Chemicals Limited,KOTARISUG.NS
KOTHARIPET,Kothari Petrochemicals Limited,KOTHARIPET.NS
KOTHARIPRO,Kothari Products Limited,KOTHARIPRO.NS
KPITTECH,KPIT Technologies Limited,KPITTECH.NS
KPRMILL,K.P.R. Mill Limited,KPRMILL.NS
KRBL,KRBL Limited,KRBL.NS
KREBSBIO,Krebs Biochemicals and Industries Limited,KREBSBIO.NS
KRIDHANINF,Kridhan Infra Limited,KRIDHANINF.NS
KRISHANA,Krishana Phoschem Limited,KRISHANA.NS
KSB,Ksb Limited,KSB.NS
KSCL,Kaveri Seed Company Limited,KSCL.NS
KSERASERA,KSS Limited,KSERASERA.NS
KSK,KSK Energy Ventures Limited,KSK.NS
KSL,Kalyani Steels Limited,KSL.NS
KTKBANK,The Karnataka Bank Limited,KTKBANK.NS
KUANTUM,Kuantum Papers Limited,KUANTUM.NS
KWALITY,kwality limited,KWALITY.NS
L&TFH,L&T Finance Holdings Limited,L&TFH.NS
LAKPRE,Lakshmi Precision Screws Limited,LAKPRE.NS
LAKSHVILAS,Lakshmi Vilas Bank Limited,LAKSHVILAS.NS
LALPATHLAB,Dr. Lal Path Labs Ltd.,LALPATHLAB.NS
LAMBODHARA,Lambodhara Textiles Limited,LAMBODHARA.NS
LAOPALA,La Opala RG Limited,LAOPALA.NS
LASA,Lasa Supergenerics Limited,LASA.NS
LAURUSLABS,Laurus Labs Limited,LAURUSLABS.NS
LAXMIMACH,Lakshmi Machine Works Limited,LAXMIMACH.NS
LEMONTREE,Lemon Tree Hotels Limited,LEMONTREE.NS
LFIC,Lakshmi Finance & Industrial Corporation Limited,LFIC.NS
LGBBROSLTD,LG Balakrishnan & Bros Limited,LGBBROSLTD.NS
LGBFORGE,LGB Forge Limited,LGBFORGE.NS
LIBAS,Libas Designs Limited,LIBAS.NS
LIBERTSHOE,Liberty Shoes Limited,LIBERTSHOE.NS
LICHSGFIN,LIC Housing Finance Limited,LICHSGFIN.NS
LINCOLN,Lincoln Pharmaceuticals Limited,LINCOLN.NS
LINCPEN,Linc Pen & Plastics Limited,LINCPEN.NS
LINDEINDIA,Linde India Limited,LINDEINDIA.NS
LOKESHMACH,Lokesh Machines Limited,LOKESHMACH.NS
LOTUSEYE,Lotus Eye Hospital and Institute Limited,LOTUSEYE.NS
LOVABLE,Lovable Lingerie Limited,LOVABLE.NS
LPDC,Landmark Property Development Company Limited,LPDC.NS
LSIL,Lloyds Steels Industries Limited,LSIL.NS
LT,Larsen & Toubro Limited,LT.NS
LTI,Larsen & Toubro Infotech Limited,LTI.NS
LTTS,L&T Technology Services Limited,LTTS.NS
LUMAXIND,Lumax Industries Limited,LUMAXIND.NS
LUMAXTECH,Lumax Auto Technologies Limited,LUMAXTECH.NS
LUPIN,Lupin Limited,LUPIN.NS
LUXIND,Lux Industries Limited,LUXIND.NS
LYKALABS,Lyka Labs Limited,LYKALABS.NS
LYPSAGEMS,Lypsa Gems & Jewellery Limited,LYPSAGEMS.NS
M&M,Mahindra & Mahindra Limited,M&M.NS
M&MFIN,Mahindra & Mahindra Financial Services Limited,M&MFIN.NS
MAANALU,Maan Aluminium Limited,MAANALU.NS
MADHAV,Madhav Marbles and Granites Limited,MADHAV.NS
MADHUCON,Madhucon Projects Limited,MADHUCON.NS
MADRASFERT,Madras Fertilizers Limited,MADRASFERT.NS
MAGADSUGAR,Magadh Sugar & Energy Limited,MAGADSUGAR.NS
MAGMA,Magma Fincorp Limited,MAGMA.NS
MAGNUM,Magnum Ventures Limited,MAGNUM.NS
MAHABANK,Bank of Maharashtra,MAHABANK.NS
MAHAPEXLTD,Maha Rashtra Apex Corporation Limited,MAHAPEXLTD.NS
MAHASTEEL,Mahamaya Steel Industries Limited,MAHASTEEL.NS
MAHEPC,Mahindra EPC Irrigation Limited,MAHEPC.NS
MAHESHWARI,Maheshwari Logistics Limited,MAHESHWARI.NS
MAHINDCIE,Mahindra CIE Automotive Limited,MAHINDCIE.NS
MAHLIFE,Mahindra Lifespace Developers Limited,MAHLIFE.NS
MAHLOG,Mahindra Logistics Limited,MAHLOG.NS
MAHSCOOTER,Maharashtra Scooters Limited,MAHSCOOTER.NS
MAHSEAMLES,Maharashtra Seamless Limited,MAHSEAMLES.NS
MAITHANALL,Maithan Alloys Limited,MAITHANALL.NS
MAJESCO,Majesco Limited,MAJESCO.NS
MALUPAPER,Malu Paper Mills Limited,MALUPAPER.NS
MANAKALUCO,Manaksia Aluminium Company Limited,MANAKALUCO.NS
MANAKCOAT,Manaksia Coated Metals & Industries Limited,MANAKCOAT.NS
MANAKSIA,Manaksia Limited,MANAKSIA.NS
MANAKSTEEL,Manaksia Steels Limited,MANAKSTEEL.NS
MANALIPETC,Manali Petrochemicals Limited,MANALIPETC.NS
MANAPPURAM,Manappuram Finance Limited,MANAPPURAM.NS
MANGALAM,Mangalam Drugs And Organics Limited,MANGALAM.NS
MANGCHEFER,Mangalore Chemicals & Fertilizers Limited,MANGCHEFER.NS
MANGLMCEM,Mangalam Cement Limited,MANGLMCEM.NS
MANGTIMBER,Mangalam Timber Products Limited,MANGTIMBER.NS
MANINDS,Man Industries (India) Limited,MANINDS.NS
MANINFRA,Man Infraconstruction Limited,MANINFRA.NS
MANUGRAPH,Manugraph India Limited,MANUGRAPH.NS
MARALOVER,Maral Overseas Limited,MARALOVER.NS
MARATHON,Marathon Nextgen Realty Limited,MARATHON.NS
MARICO,Marico Limited,MARICO.NS
MARKSANS,Marksans Pharma Limited,MARKSANS.NS
MARUTI,Maruti Suzuki India Limited,MARUTI.NS
MASFIN,MAS Financial Services Limited,MASFIN.NS
MASKINVEST,Mask Investments Limited,MASKINVEST.NS
MASTEK,Mastek Limited,MASTEK.NS
MATRIMONY,Matrimony.Com Limited,MATRIMONY.NS
MAWANASUG,Mawana Sugars Limited,MAWANASUG.NS
MAXINDIA,Max India Limited,MAXINDIA.NS
MAXVIL,Max Ventures and Industries Limited,MAXVIL.NS
MAYURUNIQ,Mayur Uniquoters Ltd,MAYURUNIQ.NS
MAZDA,Mazda Limited,MAZDA.NS
MBAPL,Madhya Bharat Agro Products Limited,MBAPL.NS
MBECL,Mcnally Bharat Engineering Company Limited,MBECL.NS
MBLINFRA,MBL Infrastructures Limited,MBLINFRA.NS
MCDHOLDING,McDowell Holdings Limited,MCDHOLDING.NS
MCDOWELL-N,United Spirits Limited,MCDOWELL-N.NS
